Timestamp,GPU_ID,Rack_ID,Power_Draw_Watts,GPU_Utilization_Percent,Workload_Type,Workload_ID,Power_State,Energy_Stored_Joules,Grid_Voltage_Volts,Temperature_Celsius,Workload_Duration_Secs,Sync_Flag,Power_Cap_Watts,Power_Burn_Active
2025-08-01 08:00:00,GPU_1124,Rack_16,1352.27,96.12,Training,WL_080,High,50.2,241.24,66.69,103.36,True,1380.1,False
2025-08-01 08:00:05,GPU_4416,Rack_62,1091.92,95.42,Training,WL_054,High,59.94,226.85,71.31,270.97,True,1138.99,False
2025-08-01 08:00:10,GPU_6629,Rack_93,1265.09,91.63,Training,WL_004,High,54.58,225.13,56.82,267.4,True,1319.72,False
2025-08-01 08:00:15,GPU_7194,Rack_100,1309.8,91.25,Training,WL_020,High,35.88,229.12,63.26,98.71,True,1359.61,False
2025-08-01 08:00:20,GPU_4477,Rack_63,622.56,36.07,Inference,WL_063,Transition,58.3,227.27,54.42,186.63,False,682.49,False
2025-08-01 08:00:25,GPU_6066,Rack_85,106.57,11.7,Idle,WL_037,Idle,65.0,231.13,65.91,48.57,False,157.54,False
2025-08-01 08:00:30,GPU_6832,Rack_95,527.03,59.64,Inference,WL_066,Transition,35.75,223.84,59.46,86.31,False,557.1,False
2025-08-01 08:00:35,GPU_2209,Rack_31,1413.87,99.59,Training,WL_026,High,51.31,234.12,65.59,168.36,True,1479.66,False
2025-08-01 08:00:40,GPU_4284,Rack_60,549.09,6.73,Idle,WL_084,Idle,64.09,220.26,66.68,201.38,False,608.38,False
2025-08-01 08:00:45,GPU_5751,Rack_80,1282.5,96.92,Training,WL_094,High,40.38,228.62,55.45,240.49,True,1339.32,False
2025-08-01 08:00:50,GPU_2551,Rack_36,1358.86,98.36,Training,WL_045,High,39.3,233.78,54.24,87.8,True,1403.8,False
2025-08-01 08:00:55,GPU_4446,Rack_62,642.02,10.49,Inference,WL_021,Transition,37.89,228.43,56.27,26.83,False,701.6,False
2025-08-01 08:01:00,GPU_4867,Rack_68,1152.43,91.18,Training,WL_017,High,40.63,245.68,62.57,247.43,True,1191.56,False
2025-08-01 08:01:05,GPU_5779,Rack_81,1079.63,89.71,Training,WL_094,High,57.8,237.11,58.76,162.35,True,1141.69,True
2025-08-01 08:01:10,GPU_5801,Rack_81,735.17,32.15,Inference,WL_011,Transition,24.15,229.99,53.74,155.17,False,786.36,False
2025-08-01 08:01:15,GPU_7172,Rack_100,1200.25,94.06,Training,WL_007,High,32.07,224.18,60.05,121.97,True,1257.07,True
2025-08-01 08:01:20,GPU_6485,Rack_91,723.18,7.08,Idle,WL_065,Idle,57.71,220.32,62.97,194.02,False,775.87,False
2025-08-01 08:01:25,GPU_2827,Rack_40,1354.15,100.0,Training,WL_047,High,50.17,235.32,60.29,283.53,True,1406.97,False
2025-08-01 08:01:30,GPU_0498,Rack_07,210.85,8.19,Idle,WL_063,Idle,44.45,227.13,61.77,276.18,False,250.0,False
2025-08-01 08:01:35,GPU_4121,Rack_58,1600.0,98.63,Training,WL_051,High,27.96,199.44,49.13,100.92,True,1500.0,False
2025-08-01 08:01:40,GPU_1423,Rack_20,703.24,58.8,Inference,WL_022,Transition,11.58,234.31,59.45,253.71,False,750.11,False
2025-08-01 08:01:45,GPU_6388,Rack_89,1183.59,92.4,Training,WL_097,High,46.5,231.87,68.42,52.78,True,1227.3,True
2025-08-01 08:01:50,GPU_6733,Rack_94,1310.18,96.36,Training,WL_025,High,21.64,226.84,62.45,56.22,True,1349.05,False
2025-08-01 08:01:55,GPU_2424,Rack_34,1322.01,95.31,Training,WL_080,High,31.16,220.88,48.88,224.97,True,1366.12,False
2025-08-01 08:02:00,GPU_5526,Rack_77,1164.4,99.33,Training,WL_032,High,49.63,230.81,60.03,214.3,True,1209.11,False
2025-08-01 08:02:05,GPU_5775,Rack_81,622.44,27.72,Inference,WL_049,Transition,28.75,232.03,63.09,116.35,False,683.49,False
2025-08-01 08:02:10,GPU_5455,Rack_76,1267.96,94.57,Training,WL_028,High,42.8,224.35,51.55,288.39,True,1321.31,True
2025-08-01 08:02:15,GPU_4309,Rack_60,561.06,69.97,Inference,WL_078,Transition,26.62,235.04,60.22,77.07,False,613.28,False
2025-08-01 08:02:20,GPU_3582,Rack_50,526.02,29.08,Inference,WL_002,Transition,20.4,233.19,54.87,218.15,False,575.08,False
2025-08-01 08:02:25,GPU_2110,Rack_30,1289.67,93.21,Training,WL_075,High,52.26,223.62,51.84,287.55,True,1348.84,True
2025-08-01 08:02:30,GPU_5906,Rack_83,1254.37,98.26,Training,WL_048,High,45.97,231.44,54.36,280.15,True,1295.09,True
